timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650012104709,626,Login-38,200,OK,AddToCart 4-1,text,true,,449,477,1,5,https://api.demoblaze.com/login,626,0,375
1650012104709,633,Contact-Tejas42,200,OK,Contacts 5-1,text,true,,5176,536,1,5,https://www.demoblaze.com/index.html,631,0,375
1650012104609,633,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-1,,true,,5176,536,1,5,null,631,100,375
1650012104709,640,login-268,200,OK,InvalidLogin 3-1,text,true,,449,477,1,4,https://api.demoblaze.com/login,640,0,375
1650012104709,641,signup,200,OK,Signup  1-1,text,true,,449,478,1,4,https://api.demoblaze.com/signup,641,0,375
1650012104709,678,login-Tejas42,200,OK,Login 2-1,text,true,,529,484,1,4,https://api.demoblaze.com/login,676,0,375
1650012105350,267,login-uff66,200,OK,InvalidLogin 3-1,text,true,,511,480,2,9,https://api.demoblaze.com/login,266,0,0
1650012105351,272,signupval-Tejas42,200,OK,Signup  1-1,text,false,"Test failed: text expected to contain /""""/",696,485,2,8,https://api.demoblaze.com/signup,270,0,0
1650012104598,913,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-1,,false,,1145,963,2,8,null,911,113,375
1650012105337,294,Login-39,200,OK,AddToCart 4-1,text,true,,594,484,2,7,https://api.demoblaze.com/login,292,0,0
1650012104609,920,Login-Tejas42,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-1,,true,,1043,961,2,7,null,918,102,375
1650012105388,270,login-178,200,OK,Login 2-1,text,true,,449,477,2,7,https://api.demoblaze.com/login,270,0,0
1650012105597,136,Contact-Tejas43,200,OK,Contacts 5-2,text,true,,19902,536,1,6,https://www.demoblaze.com/index.html,121,0,74
1650012105596,136,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-2,,true,,19902,536,1,6,null,121,2,74
1650012105632,248,Item1-80,200,OK,AddToCart 4-1,text,true,,449,476,2,5,https://api.demoblaze.com/view,248,0,0
1650012105594,328,login-268,200,OK,InvalidLogin 3-2,text,true,,449,477,1,5,https://api.demoblaze.com/login,328,0,79
